公历日期,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2020/6/15,星期一,2020,闰四月,廿四,庚子,鼠,4,壬午,己丑,,,,,,
2020/6/16,星期二,2020,闰四月,廿五,庚子,鼠,4,壬午,庚寅,,,,,,
2020/6/17,星期三,2020,闰四月,廿六,庚子,鼠,4,壬午,辛卯,,,,,,
2020/6/18,星期四,2020,闰四月,廿七,庚子,鼠,4,壬午,壬辰,,,,,,
2020/6/19,星期五,2020,闰四月,廿八,庚子,鼠,4,壬午,癸巳,,,,,,
2020/6/20,星期六,2020,闰四月,廿九,庚子,鼠,4,壬午,甲午,,,,,,
2020/6/21,星期日,2020,五月,初一,庚子,鼠,4,壬午,乙未,夏至,5:43:33,,,父亲节,
2020/6/22,星期一,2020,五月,初二,庚子,鼠,4,壬午,丙申,,,,,,
2020/6/23,星期二,2020,五月,初三,庚子,鼠,4,壬午,丁酉,,,,,,
2020/6/24,星期三,2020,五月,初四,庚子,鼠,4,壬午,戊戌,,,,,,
2020/6/25,星期四,2020,五月,初五,庚子,鼠,4,壬午,己亥,,,,端午节,,
2020/6/26,星期五,2020,五月,初六,庚子,鼠,4,壬午,庚子,,,,,,
2020/6/27,星期六,2020,五月,初七,庚子,鼠,4,壬午,辛丑,,,,,,
2020/6/28,星期日,2020,五月,初八,庚子,鼠,4,壬午,壬寅,,,,,,
2020/6/29,星期一,2020,五月,初九,庚子,鼠,4,壬午,癸卯,,,,,,
2020/6/30,星期二,2020,五月,初十 ,庚子,鼠,4,壬午,甲辰,,,,,,
2020/7/1,星期三,2020,五月,十一,庚子,鼠,4,壬午,乙巳,,,建党节,,,
2020/7/2,星期四,2020,五月,十二,庚子,鼠,4,壬午,丙午,,,,,,
2020/7/3,星期五,2020,五月,十三,庚子,鼠,4,壬午,丁未,,,,,,
2020/7/4,星期六,2020,五月,十四,庚子,鼠,4,壬午,戊申,,,,,,
2020/7/5,星期日,2020,五月,十五,庚子,鼠,4,壬午,己酉,,,,,,
2020/7/6,星期一,2020,五月,十六,庚子,鼠,4,癸未,庚戌,小暑,23:14:20,,,,
2020/7/7,星期二,2020,五月,十七,庚子,鼠,4,癸未,辛亥,,,,,,
2020/7/8,星期三,2020,五月,十八,庚子,鼠,4,癸未,壬子,,,,,,
2020/7/9,星期四,2020,五月,十九,庚子,鼠,4,癸未,癸丑,,,,,,
2020/7/10,星期五,2020,五月,二十,庚子,鼠,4,癸未,甲寅,,,,,,
2020/7/11,星期六,2020,五月,廿一,庚子,鼠,4,癸未,乙卯,,,,,,
2020/7/12,星期日,2020,五月,廿二,庚子,鼠,4,癸未,丙辰,,,,,,
2020/7/13,星期一,2020,五月,廿三,庚子,鼠,4,癸未,丁巳,,,,,,
2020/7/14,星期二,2020,五月,廿四,庚子,鼠,4,癸未,戊午,,,,,,
2020/7/15,星期三,2020,五月,廿五,庚子,鼠,4,癸未,己未,,,,,,
2020/7/16,星期四,2020,五月,廿六,庚子,鼠,4,癸未,庚申,,,,,,初伏第一天
2020/7/17,星期五,2020,五月,廿七,庚子,鼠,4,癸未,辛酉,,,,,,初伏第二天
2020/7/18,星期六,2020,五月,廿八,庚子,鼠,4,癸未,壬戌,,,,,,初伏第三天
2020/7/19,星期日,2020,五月,廿九,庚子,鼠,4,癸未,癸亥,,,,,,初伏第四天
2020/7/20,星期一,2020,五月,三十,庚子,鼠,4,癸未,甲子,,,,,,初伏第五天
2020/7/21,星期二,2020,六月,初一,庚子,鼠,4,癸未,乙丑,,,,,,初伏第六天
2020/7/22,星期三,2020,六月,初二,庚子,鼠,4,癸未,丙寅,大暑,16:36:44,,,,初伏第七天
2020/7/23,星期四,2020,六月,初三,庚子,鼠,4,癸未,丁卯,,,,,,初伏第八天
2020/7/24,星期五,2020,六月,初四,庚子,鼠,4,癸未,戊辰,,,,,,初伏第九天
2020/7/25,星期六,2020,六月,初五,庚子,鼠,4,癸未,己巳,,,,,,初伏第十天
2020/7/26,星期日,2020,六月,初六,庚子,鼠,4,癸未,庚午,,,,,,中伏第一天
2020/7/27,星期一,2020,六月,初七,庚子,鼠,4,癸未,辛未,,,,,,中伏第二天
2020/7/28,星期二,2020,六月,初八,庚子,鼠,4,癸未,壬申,,,,,,中伏第三天
2020/7/29,星期三,2020,六月,初九,庚子,鼠,4,癸未,癸酉,,,,,,中伏第四天
2020/7/30,星期四,2020,六月,初十 ,庚子,鼠,4,癸未,甲戌,,,,,,中伏第五天
2020/7/31,星期五,2020,六月,十一,庚子,鼠,4,癸未,乙亥,,,,,,中伏第六天
2020/8/1,星期六,2020,六月,十二,庚子,鼠,4,癸未,丙子,,,建军节,,,中伏第七天
2020/8/2,星期日,2020,六月,十三,庚子,鼠,4,癸未,丁丑,,,,,,中伏第八天
2020/8/3,星期一,2020,六月,十四,庚子,鼠,4,癸未,戊寅,,,,,,中伏第九天
2020/8/4,星期二,2020,六月,十五,庚子,鼠,4,癸未,己卯,,,,,,中伏第十天
2020/8/5,星期三,2020,六月,十六,庚子,鼠,4,癸未,庚辰,,,,,,闰中伏第一天
2020/8/6,星期四,2020,六月,十七,庚子,鼠,4,癸未,辛巳,,,,,,闰中伏第二天
2020/8/7,星期五,2020,六月,十八,庚子,鼠,4,甲申,壬午,立秋,9:06:03,,,,闰中伏第三天
2020/8/8,星期六,2020,六月,十九,庚子,鼠,4,甲申,癸未,,,,,,闰中伏第四天
2020/8/9,星期日,2020,六月,二十,庚子,鼠,4,甲申,甲申,,,,,,闰中伏第五天
2020/8/10,星期一,2020,六月,廿一,庚子,鼠,4,甲申,乙酉,,,,,,闰中伏第六天
2020/8/11,星期二,2020,六月,廿二,庚子,鼠,4,甲申,丙戌,,,,,,闰中伏第七天
2020/8/12,星期三,2020,六月,廿三,庚子,鼠,4,甲申,丁亥,,,,,,闰中伏第八天
2020/8/13,星期四,2020,六月,廿四,庚子,鼠,4,甲申,戊子,,,,,,闰中伏第九天
2020/8/14,星期五,2020,六月,廿五,庚子,鼠,4,甲申,己丑,,,,,,闰中伏第十天
2020/8/15,星期六,2020,六月,廿六,庚子,鼠,4,甲申,庚寅,,,,,,末伏第一天
2020/8/16,星期日,2020,六月,廿七,庚子,鼠,4,甲申,辛卯,,,,,,末伏第二天
2020/8/17,星期一,2020,六月,廿八,庚子,鼠,4,甲申,壬辰,,,,,,末伏第三天
2020/8/18,星期二,2020,六月,廿九,庚子,鼠,4,甲申,癸巳,,,,,,末伏第四天
2020/8/19,星期三,2020,七月,初一,庚子,鼠,4,甲申,甲午,,,,,,末伏第五天
2020/8/20,星期四,2020,七月,初二,庚子,鼠,4,甲申,乙未,,,,,,末伏第六天
2020/8/21,星期五,2020,七月,初三,庚子,鼠,4,甲申,丙申,,,,,,末伏第七天
2020/8/22,星期六,2020,七月,初四,庚子,鼠,4,甲申,丁酉,处暑,23:44:48,,,,末伏第八天
